early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
UNC50	5607	182	2011	568	418	853	4191	232
MGAT4A	384	34	163	153	118	204	248	37
KIAA1211L	31	1	9	7	7	9	39	3
TSGA10	771	58	253	271	204	336	755	62
C2orf15	303	7	136	33	29	46	372	12
AC079447.1	25	85	9	399	248	507	20	113
LIPT1	731	22	192	60	50	91	659	20
MITD1	3947	111	1523	428	276	577	3233	146
MRPL30	1975	65	606	200	117	343	1558	90
LYG2	209	8	56	31	17	33	95	4
LYG1	37	10	24	51	28	51	44	21
TXNDC9	4560	124	1567	560	445	763	3666	237
EIF5B	15262	375	4621	1523	1139	2494	12061	697
REV1	2559	129	705	572	434	714	2029	200
AFF3	483	77	73	287	843	708	402	125
LONRF2	115	6	51	33	59	64	26	10
CHST10	1579	24	296	79	87	206	1067	38
NMS	1	0	0	0	1	0	0	0
PDCL3	3795	131	1261	440	360	643	3124	179
NPAS2	43	11	38	57	27	75	37	17
RPL31	57541	2052	23404	6941	5142	12510	51798	3185
TBC1D8	112	52	42	152	93	172	84	52
CNOT11	2756	79	944	330	208	488	2076	122
RNF149	1339	96	502	377	273	481	987	124
CREG2	15	1	3	2	2	7	19	0
RFX8	10	0	9	5	6	17	7	4
MAP4K4	10930	586	3940	1813	1331	3606	7899	910
IL1R2	1	0	1	0	2	0	1	0
IL1R1	20	3	7	11	4	8	17	1
IL1RL2	0	1	0	0	0	1	0	0
IL1RL1	0	0	0	0	0	0	0	0
IL18R1	24	1	3	8	5	5	12	3
IL18RAP	0	0	0	0	0	0	1	1
SLC9A4	0	0	1	0	0	0	0	0
SLC9A2	6	1	1	2	9	11	1	2
MFSD9	426	19	205	62	48	102	347	36
TMEM182	294	51	101	179	137	259	239	79
POU3F3	3135	67	52	154	284	640	919	110
MRPS9	6422	249	2201	868	581	1177	5292	356
GPR45	0	0	0	0	0	0	0	0
TGFBRAP1	1118	55	295	186	125	214	813	59
C2orf49	1901	82	702	292	196	482	1562	129
FHL2	875	150	398	637	496	597	670	114
NCK2	3450	124	930	528	439	771	2435	206
ECRG4	653	21	140	115	123	122	521	27
UXS1	3232	137	1031	463	267	564	2568	187
RGPD3	0	1	0	4	2	10	1	2
CD8B2	0	0	2	0	0	0	3	0
ST6GAL2	1480	320	300	833	833	1886	1363	343
RGPD4	0	0	2	2	2	4	0	2
SLC5A7	2	0	0	1	0	0	14	0
SULT1C3	0	0	0	0	2	1	0	0
SULT1C2	57	3	124	12	7	12	100	2
SULT1C4	805	38	242	129	72	146	528	45
GCC2	6038	305	2415	977	721	1508	5245	407
LIMS1	4955	273	1548	1041	743	1431	3641	443
RANBP2	4481	203	1693	905	506	1076	3181	303
CCDC138	3186	392	679	1643	1176	2440	2261	678
EDAR	2	13	0	15	5	12	25	1
SH3RF3	45	116	20	374	143	100	143	45
SEPTIN10	5264	303	1794	1017	648	1344	3945	373
SOWAHC	929	24	230	81	41	103	785	31
RGPD5	0	22	0	71	57	51	0	21
LIMS3	0	0	0	0	1	0	0	0
MALL	3	4	3	10	3	8	11	3
NPHP1	1508	113	328	345	306	409	1193	123
MTLN	1609	57	557	260	98	318	2218	96
LIMS4	0	0	0	0	0	0	0	0
RGPD6	0	1	0	0	1	0	0	1
BUB1	4524	186	1425	560	373	872	3050	257
ACOXL	45	3	90	16	12	51	40	8
BCL2L11	741	41	663	233	186	357	568	80
ANAPC1	1129	106	409	342	210	489	959	135
MERTK	157	18	174	101	44	70	91	15
TMEM87B	342	37	238	139	84	186	367	57
FBLN7	1224	102	231	338	227	625	517	181
ZC3H8	2769	113	760	378	340	707	1785	181
ZC3H6	2649	152	861	564	415	722	2319	204
RGPD8	25	8	1	19	30	35	11	9
TTL	2284	104	759	378	261	656	1435	197
POLR1B	802	46	261	129	117	217	642	57
CHCHD5	6775	237	2586	734	466	975	5332	301
SLC20A1	3961	113	1099	435	294	735	2474	165
NT5DC4	3	0	1	4	2	7	0	1
CKAP2L	3382	95	1053	338	249	650	1919	183
IL1A	10	1	26	2	2	6	9	1
IL1B	1	0	0	1	0	0	1	0
IL37	5	0	4	0	0	1	13	0
IL36G	1	0	1	0	0	0	11	0
IL36A	0	0	0	0	0	0	0	0
IL36B	0	0	0	0	0	0	0	0
IL36RN	0	0	0	0	0	0	0	0
IL1F10	0	0	0	0	0	0	0	0
IL1RN	0	0	0	0	0	0	0	0
PSD4	18	2	13	15	13	7	32	2
PAX8	71	19	24	29	3	36	171	12
IGKV1OR2-108	0	0	0	0	0	0	0	0
CBWD2	1122	61	398	199	177	270	606	82
FOXD4L1	3	0	2	0	0	0	0	0
RABL2A	1032	45	232	168	107	220	1008	54
SLC35F5	1307	133	681	497	397	711	1451	196
ACTR3	9934	397	3600	1761	1005	2018	7332	566
DPP10	332	587	115	1929	2186	4740	608	921
DDX18	10684	283	3534	1181	734	1684	8342	405
CCDC93	1643	76	595	319	256	506	1405	115
INSIG2	1723	72	702	360	197	466	3379	123
EN1	0	7	1	40	1	5	159	2
MARCO	0	0	0	2	2	0	4	0
C1QL2	3	0	2	0	2	0	2	0
STEAP3	71	0	38	4	1	2	88	1
C2orf76	1288	62	378	192	161	261	994	82
DBI	37635	804	9295	3425	2329	4927	24604	1552
TMEM37	135	5	116	20	6	20	163	6
SCTR	3	0	0	1	1	1	3	0
CFAP221	320	56	44	214	160	184	263	54
TMEM177	2938	44	689	209	159	330	2199	90
PTPN4	2530	328	676	1136	953	1775	1568	534
EPB41L5	1775	370	846	1781	1103	1703	1610	579
TMEM185B	971	19	300	79	48	99	811	31
RALB	1585	69	722	314	214	477	1321	103
INHBB	87	4	6	1	33	35	24	2
GLI2	1955	265	615	999	761	1598	1125	459
TFCP2L1	4	1	11	2	2	4	8	0
CLASP1	1689	441	565	1611	1239	2303	1217	708
NIFK	8810	231	2761	1054	704	1610	6406	424
TSN	7535	165	2124	613	476	1146	5355	290
CNTNAP5	4	12	3	92	161	95	11	17
GYPC	6451	197	1149	749	465	1291	4747	326
TEX51	0	0	0	0	1	0	0	0
BIN1	2994	113	1326	354	183	435	2814	172
CYP27C1	974	48	318	112	152	310	438	71
ERCC3	1224	59	454	301	203	361	940	120
MAP3K2	2107	200	826	636	509	936	1562	262
PROC	16	0	8	2	2	2	95	0
IWS1	6249	233	2283	998	651	1298	4431	400
MYO7B	0	0	0	4	1	0	1	0
LIMS2	43	2	36	12	4	10	60	2
GPR17	3	1	1	0	0	1	3	0
WDR33	6123	350	2080	1390	957	1806	4943	495
SFT2D3	2735	55	576	228	129	394	1835	111
POLR2D	4633	121	1429	364	256	779	3192	196
AMMECR1L	648	40	289	135	76	215	483	51
SAP130	1240	105	448	510	328	618	879	211
UGGT1	2056	111	770	411	259	634	1560	132
HS6ST1	1916	82	265	336	226	504	639	204
RAB6C	2	0	1	0	0	0	1	0
POTEF	3	10	8	247	8	34	42	31
CCDC74B	1783	36	238	150	235	212	921	64
SMPD4	383	68	99	263	186	406	178	166
MZT2B	34388	837	9589	3161	2259	5079	24376	1353
TUBA3E	0	0	1	3	1	1	1	0
CCDC115	2684	73	921	241	266	397	2795	115
IMP4	4025	84	1323	310	230	452	2996	147
PTPN18	1480	56	342	205	202	331	1196	88
POTEI	0	2	0	15	1	2	0	3
CFC1B	0	0	1	0	0	0	1	0
CFC1	12	0	3	1	0	0	16	1
POTEJ	0	0	0	0	0	2	0	1
GPR148	0	0	0	0	0	0	0	0
AMER3	3	0	0	0	1	1	1	0
ARHGEF4	541	46	331	215	98	141	531	51
SMIM39	0	0	0	0	0	0	0	0
FAM168B	2458	160	800	678	482	1042	1687	255
PLEKHB2	3326	85	1391	334	226	590	2927	357
POTEE	0	0	12	2	0	3	15	5
RAB6D	0	0	1	0	0	1	3	0
MZT2A	10653	268	3021	1157	1257	1841	7764	499
TUBA3D	13	2	3	7	2	3	12	2
CCDC74A	3000	87	586	258	273	401	1915	113
ANKRD30BL	1	59	1	6	173	422	19	39
GPR39	17	5	8	20	48	23	33	10
LYPD1	1079	154	352	476	953	615	3372	94
NCKAP5	602	422	58	1454	879	1013	583	379
MGAT5	783	160	330	557	495	946	688	231
TMEM163	107	15	94	59	59	663	67	40
ACMSD	1	7	0	36	29	53	3	13
CCNT2	2414	186	851	666	457	1042	1856	277
MAP3K19	17	4	4	11	21	16	33	4
RAB3GAP1	2170	242	675	1015	648	1272	1570	352
ZRANB3	898	376	430	1351	1042	2181	934	557
R3HDM1	4211	562	1223	2083	1520	2937	2724	865
UBXN4	15316	661	6988	2686	1908	3531	13716	925
LCT	2	1	1	1	2	2	1	3
MCM6	6583	145	1444	701	412	964	4267	265
DARS	10727	349	3799	1384	873	2142	10471	592
CXCR4	4778	175	406	851	441	707	7457	208
THSD7B	8	7	6	91	114	168	20	73
HNMT	82	2	63	29	15	34	56	3
SPOPL	545	78	206	319	241	489	421	171
NXPH2	151	5	14	26	22	51	43	17
LRP1B	41	620	5	1942	2786	1106	149	283
KYNU	21	2	12	3	2	10	28	2
ARHGAP15	576	63	528	129	40	116	790	50
GTDC1	950	242	230	814	468	979	901	360
ZEB2	4255	351	1665	1256	748	1531	2720	398
ACVR2A	1247	119	401	598	387	1030	725	217
ORC4	4422	213	1558	986	704	1460	3040	387
MBD5	1689	859	556	3070	2597	4767	1219	1251
EPC2	1721	204	553	838	701	1377	1296	368
KIF5C	4321	218	2281	833	687	1072	2768	362
LYPD6B	103	12	34	25	32	98	73	7
LYPD6	450	64	99	281	279	604	279	139
MMADHC	6564	225	2792	823	570	1284	6201	355
RND3	3124	131	1010	326	453	1368	2828	293
RBM43	438	25	128	90	94	107	472	22
NMI	211	10	153	21	10	20	281	7
TNFAIP6	12	1	24	1	0	1	6	1
RIF1	7641	306	2831	1196	844	1974	5109	593
NEB	35	10	33	47	23	61	31	18
ARL5A	1662	310	663	1094	794	1638	1352	443
CACNB4	1054	104	217	191	288	546	603	162
STAM2	668	59	281	212	158	319	509	84
FMNL2	2658	739	961	2266	1705	3787	2115	1125
PRPF40A	19710	613	6690	2433	1509	3332	15140	1029
ARL6IP6	7180	252	2087	829	747	1656	4759	424
RPRM	1231	19	621	49	90	67	1011	17
GALNT13	329	177	56	892	960	1556	281	424
KCNJ3	14	2	5	10	17	17	21	10
NR4A2	118	15	6	28	105	82	337	10
GPD2	882	94	297	385	375	768	578	141
GALNT5	29	9	21	23	107	43	61	8
ERMN	50	1	80	28	23	22	49	12
CYTIP	20	1	13	9	11	1	6	0
ACVR1C	26	6	14	15	22	28	30	10
ACVR1	519	81	264	268	210	329	529	100
UPP2	1	17	0	105	76	91	3	34
CCDC148	479	92	174	343	306	538	356	178
PKP4	2777	333	1229	1548	1034	2096	1963	599
DAPL1	418	4	3030	50	13	46	22	4
TANC1	572	176	223	889	431	642	805	275
WDSUB1	590	46	286	186	163	287	522	60
BAZ2B	7081	644	3439	2597	2104	4557	4207	1023
MARCH7	5974	371	1925	1442	1008	1986	4952	557
CD302	46	8	11	110	95	115	133	69
LY75	4	1	1	6	1	6	19	0
PLA2R1	27	15	10	32	14	28	51	12
ITGB6	2	0	1	0	1	0	2	0
RBMS1	2482	258	3914	1187	540	824	2974	312
TANK	1915	145	622	546	411	719	1711	223
PSMD14	12416	359	3878	1595	996	2227	8559	693
TBR1	7	0	2	2	1	2	13	2
SLC4A10	7	4	6	17	29	52	3	8
DPP4	80	11	16	32	16	68	47	15
GCG	0	0	0	0	0	0	0	0
FAP	23	1	44	29	20	27	12	5
IFIH1	29	1	8	0	3	7	11	2
GCA	3963	132	1632	388	298	709	3375	230
KCNH7	33	32	2	85	180	550	7	144
FIGN	3831	361	1698	1583	797	1586	1820	622
GRB14	402	19	105	70	21	88	309	31
COBLL1	174	26	56	100	60	134	164	34
SLC38A11	3	1	39	21	1	15	4	0
SCN3A	66	7	140	28	30	42	27	9
SCN2A	24	2	8	5	3	9	13	4
CSRNP3	2890	699	516	2125	1684	3383	1899	1032
GALNT3	71	0	117	19	12	22	175	3
TTC21B	1255	128	359	383	370	749	903	214
SCN1A	269	17	11	43	38	168	74	27
SCN9A	231	19	46	41	122	189	142	56
SCN7A	11	1	7	12	5	19	6	2
XIRP2	2	0	12	2	5	4	1	1
B3GALT1	240	1	181	14	11	22	131	3
STK39	1556	210	412	728	593	963	1189	362
CERS6	2343	329	764	1165	940	2069	1573	594
NOSTRIN	3	22	0	90	71	126	7	59
SPC25	2668	159	724	667	469	1078	1674	389
G6PC2	0	0	0	0	0	0	0	0
ABCB11	1	1	0	1	4	3	0	1
DHRS9	0	0	0	0	1	0	0	0
LRP2	1954	159	1977	1703	478	656	1428	218
BBS5	388	39	93	145	136	260	387	46
KLHL41	10	2	7	3	9	12	17	2
FASTKD1	1043	97	362	380	241	642	854	173
PPIG	20237	628	7000	2612	1754	3741	15838	1082
CCDC173	867	100	37	385	303	560	528	122
PHOSPHO2	974	32	310	118	104	149	953	44
KLHL23	8173	427	2958	1529	1130	2690	6198	673
SSB	37215	1041	12435	4088	2639	6003	28041	1761
METTL5	11455	402	4153	1305	844	1661	10144	545
UBR3	948	213	330	891	691	1173	645	366
MYO3B	83	39	289	160	27	78	98	37
SP5	2910	140	142	245	115	247	7484	117
ERICH2	230	38	87	46	24	66	355	22
GAD1	602	62	279	60	55	75	1177	64
GORASP2	4722	169	1911	716	513	976	4529	251
TLK1	5912	405	1483	1502	1050	2111	3656	646
METTL8	1674	108	655	295	229	497	1256	164
DCAF17	765	76	382	205	143	310	616	76
CYBRD1	327	41	156	109	110	205	305	33
DYNC1I2	4927	363	1616	1365	1047	2040	4214	509
SLC25A12	989	129	197	400	518	648	773	169
HAT1	9228	264	2847	1096	775	1505	5953	409
METAP1D	974	77	238	184	178	470	615	94
DLX1	44	0	8	2	0	9	14	1
DLX2	125	3	19	7	5	24	306	4
ITGA6	4859	259	2102	900	614	838	4298	301
PDK1	2239	26	548	176	120	278	3765	79
RAPGEF4	42	56	8	209	101	220	38	81
MAP3K20	1659	125	701	614	434	619	1525	153
CDCA7	4790	91	966	289	186	485	2555	149
SP3	4198	276	1744	902	732	1358	3186	461
OLA1	18357	784	5753	3276	1815	4444	13888	1311
SP9	55	0	8	1	1	0	52	0
CIR1	4609	211	1611	781	613	1233	3830	309
SCRN3	1400	110	470	414	383	532	1047	158
GPR155	239	12	96	68	66	76	214	31
WIPF1	643	67	161	228	179	367	455	109
CHRNA1	2	0	1	1	0	0	4	0
CHN1	3201	361	788	1088	906	1981	1899	538
ATF2	2769	223	920	852	607	1390	1960	379
ATP5MC3	51856	1389	20245	5741	2888	6156	44642	1960
LNPK	2139	139	697	550	405	741	1872	220
EVX2	0	0	0	0	0	0	0	0
HOXD13	3	0	0	0	0	0	2	0
HOXD12	0	0	0	0	0	0	0	0
HOXD11	0	0	0	0	0	0	7	0
HOXD10	0	0	0	0	0	0	4	0
HOXD9	1	0	0	0	0	0	5	0
HOXD8	1	0	0	0	0	0	4	0
HOXD3	5	0	1	0	0	0	16	0
HOXD4	3	0	0	0	0	0	10	0
HOXD1	4	0	0	0	0	0	11	0
MTX2	5420	266	1948	987	654	1384	4495	355
HNRNPA3	35346	1662	12736	6646	3822	11367	25498	2841
NFE2L2	2432	116	985	525	288	509	2002	202
AGPS	2399	149	863	664	449	1021	1771	297
TTC30B	622	27	141	70	63	103	491	30
TTC30A	462	11	124	50	39	82	412	16
PDE11A	24	8	22	49	15	27	76	7
RBM45	1040	35	317	118	102	202	769	53
OSBPL6	612	125	280	718	243	461	446	150
PRKRA	6031	263	2146	851	608	1408	4709	354
PJVK	92	20	43	31	40	94	108	18
FKBP7	1021	61	389	132	81	215	1074	51
PLEKHA3	3013	120	1226	448	313	649	2331	160
TTN	326	80	78	251	160	229	729	112
CCDC141	115	33	34	152	23	70	448	103
SESTD1	4181	378	1328	1060	778	1566	2955	494
ZNF385B	398	99	195	2354	268	922	282	302
CWC22	3651	155	1240	711	349	770	2631	215
UBE2E3	22690	732	5314	2651	2281	4559	16697	1267
ITGA4	50	5	29	28	14	33	51	16
CERKL	2	3	1	2	5	8	5	3
NEUROD1	95	7	8	16	15	29	56	11
ITPRID2	1380	102	413	312	273	459	1235	123
PPP1R1C	219	28	82	49	63	109	86	34
PDE1A	48	9	4	26	144	58	60	31
DNAJC10	4544	176	2091	713	487	1058	3761	256
FRZB	4945	24	3667	189	53	612	1638	155
NCKAP1	4513	295	1679	1115	779	1499	3294	433
DUSP19	212	18	103	41	30	112	303	22
NUP35	2216	113	702	320	245	585	1659	146
ZNF804A	99	96	3	187	176	404	106	64
FSIP2	1288	137	424	763	747	1210	877	174
ZC3H15	15621	446	4759	1860	1231	2650	11553	699
ITGAV	1518	166	1032	559	446	944	1040	260
FAM171B	3192	161	1030	729	895	1965	2039	387
ZSWIM2	8	2	1	6	8	8	6	2
CALCRL	93	29	57	67	38	93	75	28
TFPI	1712	176	2123	900	394	333	4070	225
GULP1	3456	589	1640	2383	2206	3254	3116	850
DIRC1	0	0	0	0	0	0	0	0
COL3A1	299	7	84	27	12	23	520	4
COL5A2	1399	134	290	397	263	366	1109	120
WDR75	2483	100	835	385	223	631	1777	198
SLC40A1	84	3	13	11	13	37	24	3
ASNSD1	2932	69	842	267	183	432	1833	106
ASDURF	0	0	0	0	0	0	0	0
ANKAR	284	56	90	192	186	266	296	104
OSGEPL1	1576	86	397	194	187	335	1168	101
ORMDL1	8761	292	3143	1092	857	1808	6865	449
PMS1	3009	167	923	652	478	1127	2105	280
C2orf88	109	31	27	106	88	210	55	61
MSTN	4	2	3	10	4	7	6	1
HIBCH	5776	461	1674	1493	1170	2410	4159	670
INPP1	323	22	165	96	49	81	292	24
MFSD6	17	7	7	21	23	42	16	14
NEMP2	314	21	65	45	30	77	197	19
NAB1	1255	49	263	175	143	451	680	101
GLS	1681	132	685	464	303	754	1363	235
STAT1	2193	86	782	271	182	403	1674	96
STAT4	36	20	2	75	67	104	45	22
MYO1B	2823	187	688	727	486	1479	1909	364
NABP1	134	10	50	20	18	79	117	13
CAVIN2	8	1	4	2	1	0	14	1
TMEFF2	459	88	373	352	261	625	409	88
SLC39A10	9719	445	3552	1490	1044	2385	6761	552
DNAH7	277	120	34	400	444	523	263	128
STK17B	579	34	190	95	64	262	385	46
HECW2	392	97	84	375	532	822	195	224
CCDC150	1938	107	481	407	253	623	1045	198
GTF3C3	2329	107	889	352	234	611	1974	149
C2orf66	20	2	11	1	6	9	17	1
PGAP1	2296	265	1279	878	689	1387	1623	382
ANKRD44	163	30	50	115	144	189	75	51
SF3B1	17678	594	5118	2405	1471	3425	12461	817
COQ10B	907	58	581	193	125	207	1060	53
HSPD1	71791	2277	23600	7318	4117	10972	53360	3414
HSPE1	68002	1393	22848	5761	3009	7155	52588	2131
MOB4	5353	261	2131	1010	752	1364	4490	350
RFTN2	616	94	162	202	284	414	546	124
MARS2	294	7	142	27	15	42	304	9
BOLL	2	0	1	2	4	1	5	0
PLCL1	9	6	2	55	30	37	25	14
SATB2	217	47	48	117	93	267	235	63
FTCDNL1	63	5	15	18	9	16	67	8
C2orf69	2305	63	813	295	165	409	1897	121
TYW5	1714	72	544	273	186	391	1281	103
MAIP1	2268	72	811	297	184	381	1845	111
SPATS2L	2709	247	1064	916	816	887	3027	262
KCTD18	580	21	185	69	47	123	524	25
SGO2	8165	228	2176	787	560	1447	4925	500
AOX1	26	2	9	7	2	9	21	5
BZW1	11625	554	3949	2254	1616	3855	8257	918
CLK1	1064	50	360	183	156	272	764	88
PPIL3	3135	68	1205	227	228	446	2345	104
NIF3L1	2869	111	1003	412	301	664	2348	170
ORC2	1684	165	600	640	463	926	1241	270
FAM126B	809	62	264	252	175	352	649	103
NDUFB3	14465	392	4369	1604	980	2000	10992	571
CFLAR	2282	92	534	317	146	243	1154	129
CASP10	4	1	19	4	1	2	14	2
CASP8	42	2	47	17	3	4	70	3
FLACC1	9	4	2	11	18	19	3	8
TRAK2	316	46	149	162	113	199	292	60
STRADB	2570	80	892	370	297	486	1866	133
C2CD6	2	2	1	10	12	13	0	6
TMEM237	4028	131	1240	430	340	772	2803	197
MPP4	9	1	3	1	4	2	6	0
ALS2	835	76	361	328	192	378	732	101
CDK15	5	2	3	8	4	17	4	11
FZD7	3242	34	1532	221	155	421	2787	105
KIAA2012	65	7	9	33	54	55	69	24
SUMO1	28004	846	9171	3281	2409	4528	21275	1195
NOP58	8330	256	2480	1132	764	1702	5734	550
BMPR2	1506	359	507	1229	841	1488	1148	542
FAM117B	1202	297	375	774	659	1376	980	526
ICA1L	1489	114	521	454	390	515	1088	175
WDR12	3057	116	1190	374	260	578	2345	204
CARF	545	63	183	173	152	292	383	74
NBEAL1	1182	173	506	621	491	773	1140	205
CYP20A1	1836	153	657	568	420	921	1441	180
ABI2	10673	518	3748	2135	1535	3215	7783	835
RAPH1	572	146	193	714	513	837	352	233
CD28	0	0	0	0	0	0	0	0
CTLA4	0	0	0	0	0	0	0	0
ICOS	0	0	0	0	0	0	0	0
PARD3B	871	410	169	1481	1741	3253	495	851
NRP2	1107	40	395	94	88	125	1772	42
INO80D	1520	109	576	522	416	807	1256	215
NDUFS1	4720	201	1907	805	612	1204	3663	345
EEF1B2	101923	3008	34631	10738	7715	18566	78182	4609
GPR1	214	30	50	149	234	169	126	44
ZDBF2	1234	125	78	1073	926	740	1102	166
ADAM23	1552	250	346	1225	1065	1419	1054	327
FAM237A	1	0	0	0	1	0	0	0
DYTN	0	0	0	0	3	0	3	1
MDH1B	475	19	96	101	65	114	308	22
FASTKD2	2833	111	917	423	307	624	2080	159
CPO	4	0	1	11	7	18	4	5
KLF7	447	56	245	282	239	381	332	48
CREB1	5881	398	1908	1600	1099	2344	4141	551
METTL21A	4219	143	1560	585	359	763	3283	216
CCNYL1	872	87	616	357	267	422	705	94
FZD5	396	3	2967	58	13	170	240	7
PLEKHM3	286	34	300	151	131	244	189	72
CRYGD	406	9	136	103	75	229	562	35
CRYGC	5	0	1	1	1	3	6	0
CRYGB	12	0	9	5	1	2	7	0
CRYGA	0	0	0	0	0	0	0	0
C2orf80	36	1	24	14	6	11	10	2
IDH1	8327	188	2348	1037	611	1399	5355	402
PIKFYVE	921	125	474	429	284	597	828	158
PTH2R	10	2	81	22	12	26	5	5
MAP2	6614	1120	1926	5348	3413	4678	4498	1502
UNC80	80	15	42	53	41	69	50	16
RPE	2226	94	876	313	209	559	1812	121
KANSL1L	838	150	317	653	584	1052	606	277
ACADL	35	12	6	27	16	19	67	6
MYL1	0	0	1	1	1	1	2	1
LANCL1	1133	101	587	293	293	713	929	173
CPS1	357	45	301	116	75	346	208	88
ERBB4	715	1818	141	10972	5431	4536	1103	1204
IKZF2	433	87	270	465	216	378	374	117
SPAG16	5155	375	1837	1954	1437	2096	3893	634
VWC2L	4	8	0	46	39	55	2	11
BARD1	5302	266	1571	1302	812	1655	3757	361
ABCA12	5	8	2	23	31	29	6	5
ATIC	8596	180	2494	699	416	1011	7034	317
FN1	2094	154	577	429	270	429	2525	110
MREG	395	28	152	122	93	130	316	41
PECR	779	60	368	197	163	253	679	64
TMEM169	818	48	437	188	187	319	483	54
XRCC5	49444	1468	14770	5407	3551	8303	32367	2250
MARCH4	0	1	61	6	2	6	3	1
SMARCAL1	1115	60	442	213	198	297	860	74
RPL37A	228440	4896	94444	15957	12881	29998	187118	6109
IGFBP2	74022	2104	33929	11544	6447	11863	96533	3061
IGFBP5	4716	310	5118	1808	776	1617	10120	282
TNP1	2	0	1	0	0	1	15	0
TNS1	77	18	17	54	42	72	59	12
RUFY4	0	0	1	0	0	0	1	0
CXCR2	2	0	1	0	0	0	2	0
CXCR1	0	0	0	0	0	0	0	0
ARPC2	22742	683	9023	2882	1683	3508	19311	1045
GPBAR1	82	4	12	33	19	11	228	1
AAMP	4649	124	2010	431	242	586	4009	187
PNKD	6181	203	2607	812	616	1194	5130	333
TMBIM1	99	4	111	11	8	20	259	9
CATIP	24	3	24	16	7	8	28	3
SLC11A1	8	3	16	3	2	3	18	0
CTDSP1	1413	53	565	163	112	275	1187	75
VIL1	63	3	55	13	10	18	51	15
USP37	1549	128	487	526	412	794	994	201
CNOT9	3209	119	1133	418	373	833	2273	168
PLCD4	18	9	15	15	18	11	31	11
ZNF142	595	26	152	105	91	165	329	43
BCS1L	1521	38	469	112	83	183	1258	54
RNF25	714	26	232	106	70	141	634	46
STK36	665	15	229	89	92	146	566	38
TTLL4	1175	52	381	152	89	191	952	70
CYP27A1	440	41	82	121	76	111	631	43
PRKAG3	0	0	0	0	0	0	1	0
WNT6	3	0	0	1	0	0	15	0
WNT10A	3	0	0	0	0	0	1	0
CDK5R2	22	1	7	4	6	10	17	2
FEV	0	0	0	0	0	0	12	0
CRYBA2	1	0	0	2	0	0	5	0
CFAP65	109	4	18	17	24	40	104	9
IHH	6	0	2	2	1	0	4	0
NHEJ1	18	35	3	143	127	281	12	73
SLC23A3	4	0	5	0	0	4	12	3
CNPPD1	1321	35	406	111	73	198	1040	67
RETREG2	3204	72	965	235	231	384	2773	92
ZFAND2B	1612	41	578	177	98	269	1447	62
ABCB6	31	25	6	91	66	128	42	44
ATG9A	25	17	12	92	80	138	24	39
ANKZF1	1858	47	666	199	133	265	2236	63
GLB1L	287	16	125	29	23	49	299	4
STK16	2212	92	835	212	179	341	2144	112
TUBA4A	186	3	182	11	4	14	270	4
TUBA4B	0	0	0	0	0	0	4	0
DNAJB2	1685	52	844	194	135	246	2151	68
PTPRN	62	2	90	13	5	12	57	4
RESP18	1	0	2	4	1	0	0	0
DNPEP	2158	50	987	222	170	324	2007	85
DES	51	1	29	4	2	4	259	0
SPEG	278	11	164	38	46	55	279	19
SPEGNB	0	0	1	0	0	1	0	0
GMPPA	855	29	418	76	62	117	730	31
ASIC4	4	0	6	2	2	2	14	2
CHPF	600	17	523	106	72	73	1060	19
TMEM198	372	6	100	13	35	54	225	16
OBSL1	2816	107	1190	390	267	346	3973	104
INHA	22	0	15	8	10	6	57	2
STK11IP	710	22	192	71	28	74	564	18
SLC4A3	266	17	59	35	43	57	305	13
EPHA4	3901	406	1659	1716	1125	2225	2802	697
PAX3	921	601	196	3520	911	659	3808	349
CCDC140	98	13	18	184	56	16	685	5
SGPP2	135	59	31	107	87	52	285	27
FARSB	3363	123	791	442	285	674	2338	191
MOGAT1	3	1	0	5	4	4	6	0
ACSL3	6262	232	1507	944	625	1413	4553	412
KCNE4	1	0	0	4	2	2	0	1
SCG2	36	3	12	10	9	9	272	1
AP1S3	203	56	119	106	101	99	217	39
WDFY1	1744	170	1264	662	326	747	1765	231
MRPL44	4733	129	1766	565	363	735	3947	210
SERPINE2	4812	198	940	509	453	751	6946	211
FAM124B	7	0	10	0	0	0	9	1
CUL3	7272	540	2539	2092	1370	2949	6030	707
CCDC195	0	0	0	1	0	0	0	0
DOCK10	114	33	56	169	79	127	75	23
NYAP2	0	2	0	3	5	1	0	1
IRS1	1244	61	382	218	150	364	882	108
RHBDD1	593	170	194	414	265	614	437	177
COL4A4	21	6	10	12	9	20	33	6
COL4A3	2	5	7	17	13	33	1	4
MFF	7508	263	2353	1092	668	1496	5892	408
TM4SF20	5	3	0	2	1	3	8	0
SCYGR1	0	0	0	0	0	0	0	0
AGFG1	2492	178	1126	639	441	942	1891	199
SCYGR2	0	0	0	0	0	0	0	0
C2orf83	0	0	0	0	2	0	0	2
SCYGR3	0	0	0	0	0	0	0	0
SCYGR4	0	0	0	0	0	0	0	0
SCYGR5	0	0	0	0	0	0	0	0
SLC19A3	24	0	11	4	3	7	18	2
SCYGR6	0	0	0	0	0	0	0	0
SCYGR7	0	0	0	0	0	0	0	0
SCYGR8	0	0	0	0	0	0	0	0
CCL20	0	0	0	0	0	0	0	0
